PUBLICATION_ID,MCZBASE.GET_PUBLICATION_AUTHORS_ALL(P.PUBLICATION_ID),PUBLISHED_YEAR,PUBLICATION_TITLE,JOURNAL_NAME,JOURNAL_ABBREVIATION,VOLUME_NUMBER,ISSUE_NUMBER,BEGINS_PAGE_NUMBER,ENDS_PAGE_NUMBER,PUBLISHER_NAME, 
5731,"Agassiz, L.",1839,no article title available,Soc.Sci.Nat. Helvetica Mem.,Soc.Sci.Nat. Helvetica Mem.,3,1,87,6,, 
1960,"Thomas, A.O.",1920,no article title available,Iowa Geol.Survey,Iowa Geol.Survey,29,,483,492,, 
4858,"Powers, S.",1922,no article title available,Am.Jour.Sci.,Am.Jour.Sci.,3,14,105,,, 
2144,William More Gabb,1864,no article title available,"Geological Survey of CA: Paleontology,","Geological Survey of CA: Paleontology,",1,,61,62,, 
3356,"Walcott, C.D.",1876,no article title available,"New York State Mus.Nat.Hist., 28th,Ann.Rept.,doc.ed","New York State Mus.Nat.Hist., 28th,Ann.Rept.,doc.",,,93,,, 
4407,"Kummel, B.",1969,Ammonoids of the Late Scythian (Lower Triassic),"Bull of the MCZ,","Bull of the MCZ,",137,3,476,,, 
2221,"Shaw, A.B.",1966,no article title available,Jour.Paleontology,Jour.Paleontology,40,4,846,,, 
4898,"Springer, F.",1901,Uintacrinus: its structure and relations.,Harvard Univ.Mus.Comp.Zoology Mem.,Harvard Univ.Mus.Comp.Zoology Mem.,25,1,19,,, 
1364,"Sprinkle, J.T. and R.C. Gutschick",1990,Early Mississippian blastoids from western Montana,Harvard Univ.Mus.Comp.Zoology Bull.,Harvard Univ.Mus.Comp.Zoology Bull.,152,3,145,,, 
3531,"Whittington, H.B.",1999,no article title available,Jour.Paleontology,Jour.Paleontology,73,3,427,,, 
1086,Joachim Barrande,1872,no article title available,Systeme Silurien du Centre de la Boheme Supplement,Systeme Silurien du Centre de la Boheme Supplemen,1,,112,113,, 
3630,"Scudder, S. H.",1882,no article title available,"Am.Jour.Sci. 3rd ser,","Am.Jour.Sci. 3rd ser,",24,141,161,162,, 
1175,"Wachsmuth, C. and Frank Springer",1897,The North American Crinoidea camerata. Volume I.,Harvard Univ.Mus.Comp.Zoology Mem.,Harvard Univ.Mus.Comp.Zoology Mem.,20,,106,,, 
1684,"Kammer, T.W. and Ausich, W.I.",1996,no article title available,Jour.Paleontology,Jour.Paleontology,70,5,858,15,, 
880,"Jefferies, R.P.S.",1973,no article title available,Royal Soc. London Philos. Trans. Series B,Royal Soc. London Philos. Trans. Series B,265,,438,,, 
2572,"Hamlin, C.E.",1884,"Results of an examination of Syrian molluscan fossils, chiefly from the range of Mount Lebanon.","Memoirs of the Museum of Comparative Zoology,","Memoirs of the Museum of Comparative Zoology,",10,3,14,15,, 
5422,"Kummel, B.",1968,Additional Scythian ammonoids from Afghanistan,"Bull. of the MCZ,","Bull. of the MCZ,",136,13,490,499,, 
5600,"Faul, H.",1950,no article title available,Jour.Paleontology,Jour.Paleontology,24,1,102,105,, 
1419,"Hyatt, A.",1883,no article title available,"Proc. BSNH,","Proc. BSNH,",22,,295,,, 
4281,"Whittington, H.B.",2002,no article title available,Jour. Paleontology,Jour. Paleontology,,,315,,, 
4321,"Oliver, W.A. and Galle, A.",1970,no article title available,Sbornik Geologickych Ved.Paleontologie,Sbornik Geologickych Ved.Paleontologie,14,,89,91,, 
4322,"Bronn, H.G.",1836,no article title available,Lethaea Geognostica,Lethaea Geognostica,3,,366,,, 
1207,"Shuler, E.W.",1915,no article title available,"Am.Jour.Sci.,ser.4,","Am.Jour.Sci.,ser.4,",39,233,551,,, 
1855,"Thomas, A.T.",1978,British Wenlock Trilobites. Part 1.,"Palaeontographical Soc. London Mono.,","Palaeontographical Soc. London Mono.,",132,552,17,,, 
2537,"Hughes, N.C. and Chapman, R.E.",1995,no article title available,Lethaia,Lethaia,28,,335,,, 
4657,"Smith, M.",1936,no article title available,Nautilus,Nautilus,49,4,138,,, 
1493,"Rogalla, N.S. and Amler, M.R.W.",2003,no article title available,Cour.Forsh.-Inst.Senckenberg,Cour.Forsh.-Inst.Senckenberg,242,242,54,9,, 
3846,"Ciriacks, K.W.",1963,no article title available,Am.Mus.Nat.History Bull.,Am.Mus.Nat.History Bull.,125,,79,,, 
9229,"Turek, V.",2007,no article title available,Czech Bulletin of Geosciences,Czech Bulletin of Geosciences,82,1,2,,, 
7045,"Buckman, S.S.",1904,no article title available,"Ammonites of the Inferior Oolite Series, pt.12,supp.","Ammonites of the Inferior Oolite Series, pt.12,su",,,85,86,, 
8142,"Schneider, J.A.",1995,no article title available,"Zoologica Scripta,","Zoologica Scripta,",24,4,337,,, 
8191,"Kobayashi, T.",1944,no article title available,"Jour. Faculty Science, Imperial Univ. Tokyo Section 2,","Jour. Faculty Science, Imperial Univ. Tokyo Secti",7,2,49,50,, 
6055,"Wills, L.",1966,no article title available,"Arkiv for Zoologi,","Arkiv for Zoologi,",18,2,129,,, 
6755,"Hyatt, A.",1872,Fossil Cephalopods of the Museum of Comparative Zoology ,Harvard Univ. Mus. Comp. Zoology Bull.,Harvard Univ. Mus. Comp. Zoology Bull.,5,5,91,9,, 
8956,"Meek, F.B. and A.H. Worthen",1860,no article title available,Acad.Nat.Sci.Philadelphia Proc.,Acad.Nat.Sci.Philadelphia Proc.,12,,386,,, 
8977,"Westermann, G.E.G.",1977,no article title available,"Paleobiology,","Paleobiology,",3,3,304,,, 
7940,"Whittard, W.F.",1952,no article title available,"British Mus.(Nat.History)Bull.,Geology","British Mus.(Nat.History)Bull.,Geology",1,10,318,,, 
8718,"Haugh, B.N.",1973,no article title available,"Jour.Paleontology,","Jour.Paleontology,",47,1,86,,, 
1495,"Stumm, E.C.",1964,Silurian and Devonian Corals of the Falls of the Ohio,Geol.Soc.Amer.Mem.93,Geol.Soc.Amer.Mem.93,,,28,,, 
2044,Francis Arthur Bather,1934,"Chelonechinus N.G., A Neogene Urechinid",Geol.Soc.Amer.Bull.,Geol.Soc.Amer.Bull.,45,4,808,832,, 
5863,"Gould, S.J.",1994,no article title available,"J. of Paleontology,","J. of Paleontology,",68,5,1034,5,, 
1434,"Shaw, A.B.",1966,no article title available,Jour.Paleontology,Jour.Paleontology,40,2,280,,, 
2874,"Sprinkle, J.T.",1973,Morphology and evolution of blastozoan Echinoderms. Special Publication.,Harvard Univ.Mus.Comp.Zoology Spec.Pub.,Harvard Univ.Mus.Comp.Zoology Spec.Pub.,,,154,,, 
4052,"Grabau, A. W.",1904,no article title available,Smithsonian Misc.Colln.,Smithsonian Misc.Colln.,44,1417,117,118,, 
1856,"Whiteley,T.E., Kloc,G.J. and Brett,C.E.",2002,no article title available,Trilobites of New York: An Illustrated Guide,Trilobites of New York: An Illustrated Guide,,,121,,, 
3638,"Rolfe, W.D.I.",1962,no article title available,Paleontology,Paleontology,4,,548,,, 
1951,"Clark, T.H.",1919,"A section of the Trenton limestone at Martinsburg, New York",Harvard Univ.Mus.Comp.Zoology Bull.,Harvard Univ.Mus.Comp.Zoology Bull.,63,1,14,,, 
1761,"Hoffman, R.L.",1963,no article title available,Jour.Paleontology,Jour.Paleontology,37,1,171,4,, 
1760,"Baird, D.",1958,no article title available,Jour.Paleontology,Jour.Paleontology,32,1,239,,, 
1829,"Galloway, J.J. and St.Jean, J.",1961,no article title available,Bulls.Am.Paleontology,Bulls.Am.Paleontology,43,194,32,34,, 
1104,"Whittington, H.B. and K.S.W. Campbell",1967,Silicified silurian trilobites from Maine,Harvard Univ.Mus.Comp.Zoology Bull.,Harvard Univ.Mus.Comp.Zoology Bull.,135,9,457,,, 
4144,"Flower, R.H.",1976,no article title available,"New Mexico Bur.Mines and Mineral Resources Mem.28,Part I",New Mexico Bur.Mines and Mineral Resources Mem.28,,,12,,, 
4154,"Flower, R.H.",1952,no article title available,Jour.Paleontology,Jour.Paleontology,26,1,46,15,, 
4354,"Fortey, R.",1997,no article title available,Paleontology,Paleontology,40,2,406,,, 
2767,"Cooper, G.A.",1955,New genera of middle Paleozoic brachiopods,"Jour.Paleontology,","Jour.Paleontology,",29,1,46,,, 
4625,"Lesperance, P.J.",1975,no article title available,Jour.Paleontology,Jour.Paleontology,49,1,113,117,, 
8028,"Briggs, D.E.",1979,no article title available,"Palaeontology,","Palaeontology,",22,,633,,, 
14420,Raymond P.E.,1944,Late Paleozoic Xiphosurans,,,,,,,, 
7426,H.L. Clark,1937,no article title available,San Diego Soc.Nat.Hist.Trans.,San Diego Soc.Nat.Hist.Trans.,8,28,368,,, 
7547,"Conway Morris, S.",1985,no article title available,"Philos. Trans.,","Philos. Trans.,",307,1134,528,,, 
7047,"Buckman, S.S.",1899,no article title available,"Ammonites of the Inferior Oolite Series, pt.11,supp.","Ammonites of the Inferior Oolite Series, pt.11,su",,,,15,, 
